,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 LPM,EGRA Section 4: WPM,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score
491,0,7,1.0,0,0,0,0,2,0
492,0,7,1.0,0,0,0,0,2,0
493,10,2,64.0,3,10,0,1,2,1
494,10,2,64.0,3,10,0,1,2,1
495,10,2,64.0,3,10,0,1,2,1
496,0,4,7.0,0,0,0,1,3,1
497,0,4,7.0,0,0,0,1,3,1
498,0,4,7.0,0,0,0,1,3,1
499,0,6,34.0,0,0,0,0,3,2
500,0,6,34.0,0,0,0,0,3,2
501,0,6,34.0,0,0,0,0,3,2
502,30,7,85.0,35,24,0,0,3,2
503,30,7,85.0,35,24,0,0,3,2
504,30,7,85.0,35,24,0,0,3,2
505,0,6,2.0,0,0,0,2,3,2
506,0,6,2.0,0,0,0,2,3,2
507,0,6,2.0,0,0,0,2,3,2
508,0,4,10.0,0,0,0,1,3,2
509,0,4,10.0,0,0,0,1,3,2
510,0,4,10.0,0,0,0,1,3,2
511,0,5,5.0,0,1,0,1,3,3
512,0,5,5.0,0,1,0,1,3,3
513,0,5,5.0,0,1,0,1,3,3
514,7,8,53.0,7,8,0,3,3,2
515,7,8,53.0,7,8,0,3,3,2
516,7,8,53.0,7,8,0,3,3,2
517,0,5,11.0,0,0,0,1,1,0
518,0,5,11.0,0,0,0,1,1,0
519,0,5,11.0,0,0,0,1,1,0
520,7,4,37.0,4,9,0,1,3,2
521,7,4,37.0,4,9,0,1,3,2
522,7,4,37.0,4,9,0,1,3,2
523,0,6,1.0,0,0,0,0,0,0
524,0,6,1.0,0,0,0,0,0,0
525,0,6,1.0,0,0,0,0,0,0
526,0,6,20.0,1,2,1,0,3,1
527,0,6,20.0,1,2,1,0,3,1
528,0,6,20.0,1,2,1,0,3,1
529,0,5,9.0,1,2,1,1,3,2
530,0,5,9.0,1,2,1,1,3,2
531,0,5,9.0,1,2,1,1,3,2
532,9,5,60.0,17,16,1,4,3,3
533,9,5,60.0,17,16,1,4,3,3
534,9,5,60.0,17,16,1,4,3,3
535,0,4,4.0,0,0,0,0,2,0
536,0,4,4.0,0,0,0,0,2,0
537,0,4,4.0,0,0,0,0,2,0
538,3,3,28.0,4,7,0,0,3,2
539,3,3,28.0,4,7,0,0,3,2
540,3,3,28.0,4,7,0,0,3,2
541,0,3,5.0,0,0,0,0,3,1
542,0,3,5.0,0,0,0,0,3,1
543,0,3,5.0,0,0,0,0,3,1
544,0,6,7.0,4,2,0,0,3,1
545,0,6,7.0,4,2,0,0,3,1
546,0,6,7.0,4,2,0,0,3,1
547,0,4,1.0,0,0,0,0,3,0
548,0,4,1.0,0,0,0,0,3,0
549,0,4,1.0,0,0,0,0,3,0
550,0,3,7.0,1,2,2,1,3,0
551,0,3,7.0,1,2,2,1,3,0
552,0,3,7.0,1,2,2,1,3,0
553,7,5,11.0,11,15,0,1,3,3
554,7,5,11.0,11,15,0,1,3,3
555,7,5,11.0,11,15,0,1,3,3
556,7,5,11.0,11,15,0,1,3,3
557,0,5,62.0,9,17,4,1,2,3
558,0,5,62.0,9,17,4,1,2,3
559,0,5,62.0,9,17,4,1,2,3
560,0,5,62.0,9,17,4,1,2,3
561,0,6,26.0,2,7,3,4,3,3
562,0,6,26.0,2,7,3,4,3,3
563,0,6,26.0,2,7,3,4,3,3
564,0,6,26.0,2,7,3,4,3,3
565,15,3,64.0,13,17,0,3,3,1
566,15,3,64.0,13,17,0,3,3,1
567,15,3,64.0,13,17,0,3,3,1
568,15,3,64.0,13,17,0,3,3,1
569,10,5,55.0,13,16,2,0,3,2
570,10,5,55.0,13,16,2,0,3,2
571,10,5,55.0,13,16,2,0,3,2
572,10,5,55.0,13,16,2,0,3,2
573,0,9,8.0,4,3,0,2,0,0
574,0,9,8.0,4,3,0,2,0,0
575,0,9,8.0,4,3,0,2,0,0
576,0,9,8.0,4,3,0,2,0,0
577,0,3,4.0,4,7,0,1,3,2
578,0,3,4.0,4,7,0,1,3,2
579,0,3,4.0,4,7,0,1,3,2
580,0,3,4.0,4,7,0,1,3,2
581,10,7,68.0,2,3,3,2,1,2
582,10,7,68.0,2,3,3,2,1,2
583,10,7,68.0,2,3,3,2,1,2
584,10,7,68.0,2,3,3,2,1,2
585,15,3,39.0,12,0,0,4,3,3
586,15,3,39.0,12,0,0,4,3,3
587,6,4,35.0,9,11,3,0,3,2
588,6,4,35.0,9,11,3,0,3,2
589,26,5,51.0,14,27,7,2,3,2
590,26,5,51.0,14,27,7,2,3,2
591,19,8,47.0,5,14,0,0,3,2
592,19,8,47.0,5,14,0,0,3,2
593,12,5,66.0,23,74,10,4,3,3
594,12,5,66.0,23,74,10,4,3,3
595,20,7,44.0,26,36,9,2,3,3
596,20,7,44.0,26,36,9,2,3,3
